Tipo de Busca, Achou, Profundidade, Custo, Nós Explorados, Nós Gerados, Fator de Ramificação, Tempo (s), Entrada,
BP ,1,36,90,38,71,1.8684,0.01, ABBBBBBBBBBAAAAAAAAA-  ,10
A* ,1,12,22,22,49,2.2273,0.01, ABBBBBBBBBBAAAAAAAAA-  ,10
BP ,1,6,9,10,13,1.3,0, -ABAB  ,2
BL ,1,4,7,13,19,1.4615,0.01, -ABAB  ,2
BCU ,1,5,8,18,37,2.0556,0.01, ABBBAA-  ,3
BP ,1,8,13,10,15,1.5,0, ABBBAA-  ,3
BPL ,1,13,16,34,50,1.4706,0.01, ABBBAA-  ,3
BP ,1,15,24,25,46,1.84,0, -ABABAB  ,3
BPI ,1,0,0,1,1,1,0, -BBBBAAAA  ,4
IDA* ,1,0,0,1,1,1,0, -BBBBAAAA  ,4
IDA* ,1,4,7,178,175,0.9831,0.01, -ABAB  ,2
BPL ,1,13,24,39,63,1.6154,0, ABBBBBBBBBBAAAAAAAAA-  ,10
A* ,1,5,17,13,23,1.7692,0," ['1', '2', '5', '10']  ",17
BL ,1,5,8,19,40,2.1053,0, ABBBAA-  ,3
IDA* ,1,6,10,639,636,0.9953,0.01, -AABB  ,2
BP ,1,0,0,1,1,1,0, -BBBBAAAA  ,4
BPI ,1,5,8,142,144,1.0141,0, ABBBAA-  ,3
BPL ,1,13,27,918,968,1.0545,0.03," ['1', '2', '5', '10']  ",17
BPL ,1,0,0,1,1,1,0, -BBBBAAAA  ,4
BL ,1,0,0,1,0,0,0, -BBBBAAAA  ,4
BL ,1,6,10,18,21,1.1667,0, -AABB  ,2
A* ,1,0,0,1,1,1,0, -BBBBAAAA  ,4
BCU ,1,0,0,1,1,1,0, -BBBBAAAA  ,4
BP ,1,76,134,93,181,1.9462,0.03, -AAAABBBB  ,4
BL ,1,5,11,44,73,1.6591,0.01, -ABABAB  ,3
BPL ,1,12,15,159,172,1.0818,0, -ABAB  ,2
BP ,1,6,10,14,16,1.1429,0, -AABB  ,2
A* ,1,6,10,23,26,1.1304,0, -AABB  ,2
IDA* ,1,5,8,111,113,1.018,0.01, ABBBAA-  ,3
BCU ,1,6,10,19,25,1.3158,0.01, -AABB  ,2
BPI ,1,4,6,44,44,1,0, ABBA-  ,2
A* ,1,4,6,12,17,1.4167,0, ABBA-  ,2
A* ,1,4,7,17,22,1.2941,0, -ABAB  ,2
IDA* ,1,4,6,64,64,1,0, ABBA-  ,2
A* ,1,5,11,46,78,1.6957,0.02, -ABABAB  ,3
BCU ,1,5,11,67,95,1.4179,0.02, -ABABAB  ,3
BPL ,1,12,16,398,407,1.0226,0.01, -AABB  ,2
BPI ,1,6,10,282,279,0.9894,0.01, -AABB  ,2
BPI ,1,4,7,91,88,0.967,0.01, -ABAB  ,2
BP ,1,4,6,6,7,1.1667,0, ABBA-  ,2
BPI ,1,5,11,656,655,0.9985,0.01, -ABABAB  ,3
BCU ,1,4,7,14,22,1.5714,0, -ABAB  ,2
BCU ,1,4,6,9,17,1.8889,0, ABBA-  ,2
BL ,1,4,6,9,14,1.5556,0, ABBA-  ,2
BPL ,1,13,19,417,441,1.0576,0.01, -ABABAB  ,3
A* ,1,5,8,15,31,2.0667,0.01, ABBBAA-  ,3
BL ,1,8,24,140,238,1.7,0.04, -AAAABBBB  ,4
IDA* ,1,5,11,844,843,0.9988,0.03, -ABABAB  ,3
BPI ,1,7,17,1458,1460,1.0014,0.03, AAABBB-  ,3
IDA* ,1,5,17,22,34,1.5455,0," ['1', '2', '5', '10']  ",17
BL ,1,7,17,60,84,1.4,0.01, AAABBB-  ,3
BPL ,1,13,20,155,174,1.1226,0, ABBBBAAA-  ,4
A* ,1,7,16,82,107,1.3049,0.02, AAABBB-  ,3
A* ,1,7,12,17,39,2.2941,0, ABBBBBAAAA-  ,5
A* ,1,8,14,18,41,2.2778,0, ABBBBBBAAAAA-  ,6
BCU ,1,7,16,89,108,1.2135,0.01, AAABBB-  ,3
BP ,1,16,30,18,31,1.7222,0, ABBBBBAAAA-  ,5
A* ,1,6,10,16,37,2.3125,0, ABBBBAAA-  ,4
IDA* ,1,6,10,181,184,1.0166,0, ABBBBAAA-  ,4
BPI ,1,6,10,489,492,1.0061,0.01, ABBBBAAA-  ,4
BP ,1,27,43,39,58,1.4872,0.01, AAABBB-  ,3
BCU ,1,6,10,33,68,2.0606,0.01, ABBBBAAA-  ,4
BP ,1,12,21,14,23,1.6429,0, ABBBBAAA-  ,4
A* ,1,11,20,21,47,2.2381,0, ABBBBBBBBBAAAAAAAA-  ,9
BPL ,1,13,23,133,157,1.1805,0.01, ABBBBBBBBAAAAAAA-  ,8
A* ,1,10,18,20,45,2.25,0, ABBBBBBBBAAAAAAA-  ,8
BP ,1,19,136,29,357,12.3103,0.08," ['1', '2', '5', '10', '3', '4', '14', '18', '20', '50']  ",104
BPL ,1,13,18,290,312,1.0759,0, ABBBBBAAAA-  ,5
BP ,1,76,134,93,181,1.9462,0.02, -AAAABBBB  ,4
BPL ,1,13,22,915,927,1.0131,0.02, AAABBB-  ,3
BCU ,1,7,12,57,120,2.1053,0.03, ABBBBBAAAA-  ,5
BL ,1,6,10,41,91,2.2195,0.01, ABBBBAAA-  ,4
BL ,1,5,19,20,25,1.25,0," ['1', '2', '5', '10']  ",17
BP ,1,28,63,30,55,1.8333,0.01, ABBBBBBBBAAAAAAA-  ,8
BL ,1,8,24,140,238,1.7,0.05, -AAAABBBB  ,4
BP ,1,5,19,9,20,2.2222,0.01," ['1', '2', '5', '10']  ",17
IDA* ,1,7,12,302,306,1.0132,0.01, ABBBBBAAAA-  ,5
BPL ,1,13,22,533,557,1.045,0.02, ABBBBBBAAAAA-  ,6
BP ,1,103,203,149,284,1.906,0.04, -ABABABAB  ,4
BPL ,1,12,14,30,42,1.4,0, ABBA-  ,2
BP ,1,24,51,26,47,1.8077,0, ABBBBBBBAAAAAA-  ,7
A* ,1,9,16,19,43,2.2632,0, ABBBBBBBAAAAAA-  ,7
BP ,1,20,40,22,39,1.7727,0, ABBBBBBAAAAA-  ,6
BCU ,1,5,19,12,22,1.8333,0," ['1', '2', '5', '10']  ",17
BP ,1,32,76,34,63,1.8529,0.01, ABBBBBBBBBAAAAAAAA-  ,9
BPL ,1,13,22,49,72,1.4694,0, ABBBBBBBBBAAAAAAAA-  ,9
BPL ,1,13,20,179,202,1.1285,0.01, ABBBBBBBAAAAAA-  ,7
BPI ,1,7,12,1881,1885,1.0021,0.06, ABBBBBAAAA-  ,5
IDA* ,1,8,14,528,533,1.0095,0.03, ABBBBBBAAAAA-  ,6
A* ,1,8,24,236,348,1.4746,0.15, -AAAABBBB  ,4
BL ,1,7,12,85,198,2.3294,0.03, ABBBBBAAAA-  ,5
BPI ,1,6,16,6473,6475,1.0003,0.12, -ABABABAB  ,4
BCU ,1,8,14,93,200,2.1505,0.05, ABBBBBBAAAAA-  ,6
BPI ,1,5,19,1909,1918,1.0047,0.06," ['1', '2', '5', '10']  ",17
BCU ,1,8,24,425,495,1.1647,0.22, -AAAABBBB  ,4
BL ,1,6,16,153,270,1.7647,0.07, -ABABABAB  ,4
IDA* ,1,9,16,950,956,1.0063,0.04, ABBBBBBBAAAAAA-  ,7
IDA* ,1,7,16,3386,3386,1,0.09, AAABBB-  ,3
BPL ,1,13,38,22568,22575,1.0003,0.52, -AAAAABBBBB  ,5
A* ,1,6,16,106,221,2.0849,0.08, -ABABABAB  ,4
IDA* ,1,6,16,3758,3760,1.0005,0.1, -ABABABAB  ,4
BPL ,1,12,22,18956,18985,1.0015,0.44, -ABABABAB  ,4
A* ,1,8,24,236,348,1.4746,0.16, -AAAABBBB  ,4
BPL ,1,12,28,19339,19346,1.0004,0.47, -AAAABBBB  ,4
BCU ,1,9,16,146,321,2.1986,0.14, ABBBBBBBAAAAAA-  ,7
IDA* ,1,10,18,1750,1757,1.004,0.1, ABBBBBBBBAAAAAAA-  ,8
BL ,1,8,14,177,413,2.3333,0.13, ABBBBBBAAAAA-  ,6
